[ 2025-04-04 04:23:05,236 ] 19 root - INFO - Initiate the data ingestion
[ 2025-04-04 04:23:08,930 ] 71 root - INFO - Performed train test split on the dataframe
[ 2025-04-04 04:23:08,931 ] 73 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-04 04:23:08,931 ] 81 root - INFO - Exporting train and test file path.
[ 2025-04-04 04:23:08,975 ] 90 root - INFO - Exported train and test file path.
[ 2025-04-04 04:23:08,975 ] 21 root - INFO - Data Initiation Completed
[ 2025-04-04 04:23:08,980 ] 25 root - INFO - Initiate data validation
[ 2025-04-04 04:23:09,026 ] 33 root - INFO - Required number of columns:2
[ 2025-04-04 04:23:09,026 ] 34 root - INFO - Data frame has columns:31
[ 2025-04-04 04:23:09,027 ] 33 root - INFO - Required number of columns:2
[ 2025-04-04 04:23:09,027 ] 34 root - INFO - Data frame has columns:31
[ 2025-04-04 04:23:09,215 ] 27 root - INFO - Data Validation Completed
[ 2025-04-04 04:23:09,216 ] 30 root - INFO - data tranformation started
[ 2025-04-04 04:23:09,216 ] 40 root - INFO - entered data trnaformation method of dataTransforamtion class
[ 2025-04-04 04:23:09,216 ] 42 root - INFO - Starting data transformation
[ 2025-04-04 04:23:09,234 ] 31 root - INFO - entered get_data_y=transformer_object method of Transformtion class
[ 2025-04-04 04:23:09,251 ] 43 root - INFO - entered the save_object method of mainUtils class
[ 2025-04-04 04:23:09,255 ] 47 root - INFO - Exited the save_object method of MainUtls class
[ 2025-04-04 04:23:09,256 ] 34 root - INFO - data tranforamtion completed
[ 2025-04-04 04:23:09,256 ] 35 root - INFO - Model training started
